,weather,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,main.sea_level,main.grnd_level,wind.speed,wind.deg,wind.gust,clouds.all,sys.country,sys.sunrise,sys.sunset,sys.type,sys.id,message,rain.1h,snow.1h
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1620917140.0,-18000.0,4330160.0,Lafayette,200,-92.0668,30.2335,69.6,70.07,68.16,70.18,1024.0,81.0,,,11.5,30.0,,75.0,US,1620904534.0,1620953627.0,1.0,4704.0,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1620917141.0,-18000.0,3532821.0,Antón Lizardo,200,-95.9833,19.05,83.21,90.28,83.21,83.21,1018.0,75.0,1018.0,1018.0,22.32,351.0,27.85,97.0,MX,1620906604.0,1620953437.0,2.0,2011405.0,,,
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1620917142.0,-21600.0,4021858.0,Guerrero Negro,200,-114.0611,27.9769,64.24,63.61,64.24,64.24,1016.0,69.0,1016.0,1016.0,10.07,319.0,10.92,74.0,MX,1620910058.0,1620958660.0,,,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1620916937.0,-21600.0,6089245.0,Norman Wells,200,-126.8329,65.282,34.05,28.02,34.05,34.05,1029.0,74.0,,,6.91,100.0,,90.0,CA,1620903862.0,1620970987.0,1.0,951.0,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1620917142.0,3600.0,2477537.0,Tazmalt,200,4.3989,36.3868,77.4,76.44,77.4,77.4,1014.0,34.0,1014.0,979.0,8.95,315.0,10.22,0.0,DZ,1620880647.0,1620931211.0,,,,,
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1620917142.0,-21600.0,5882953.0,Aklavik,200,-135.0107,68.2191,17.8,12.51,17.8,20.14,1031.0,79.0,,,3.44,30.0,,75.0,CA,1620902998.0,1620975777.0,1.0,821.0,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1620917143.0,36000.0,2156404.0,Mudgee,200,149.5871,-32.5943,62.67,62.2,43.79,64.44,1014.0,76.0,,,3.44,360.0,,90.0,AU,1620938607.0,1620976361.0,1.0,9547.0,,,
0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000.0,1620917143.0,-14400.0,3374083.0,Bathsheba,200,-59.5167,13.2167,86.18,94.64,86.18,86.18,1016.0,68.0,1016.0,1016.0,16.87,86.0,17.25,20.0,BB,1620898372.0,1620944165.0,1.0,8772.0,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1620917143.0,7200.0,359783.0,Assiut,200,31.1837,27.181,101.53,95.41,101.53,101.53,1009.0,5.0,1009.0,1002.0,16.22,348.0,16.96,0.0,EG,1620875298.0,1620923703.0,1.0,2510.0,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1620917144.0,0.0,2409215.0,Mattru,200,-11.8332,7.6244,88.36,96.4,88.36,88.36,1009.0,61.0,1009.0,1003.0,3.96,233.0,4.21,96.0,SL,1620887398.0,1620932251.0,,,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1620917144.0,34200.0,2067089.0,Maningrida,200,134.2667,-12.0667,72.27,72.43,72.27,72.27,1011.0,69.0,1011.0,1007.0,9.91,134.0,23.47,1.0,AU,1620940335.0,1620981987.0,,,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1620917144.0,25200.0,2022572.0,Khatanga,200,102.5,71.9667,25.34,18.91,25.34,25.34,1009.0,94.0,1009.0,1006.0,5.35,270.0,5.77,100.0,RU,0.0,0.0,,,,,
0,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",stations,275.0,1620917144.0,36000.0,2120048.0,Ust-Nera,200,143.2,64.5667,27.54,27.54,27.54,27.54,1012.0,95.0,1012.0,952.0,1.7,333.0,3.13,100.0,RU,1620925909.0,1620992125.0,,,,,0.19
0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000.0,1620917145.0,3600.0,245669.0,Adré,200,22.2,13.4667,99.82,94.59,99.82,99.82,1005.0,10.0,1005.0,922.0,10.69,60.0,11.36,34.0,TD,1620878742.0,1620924571.0,,,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1620917145.0,-18000.0,3707058.0,La Palma,200,-78.1453,8.4028,86.79,97.03,86.79,86.79,1010.0,70.0,1010.0,1008.0,1.07,53.0,2.19,99.0,PA,1620903247.0,1620948232.0,,,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1620917145.0,0.0,2450173.0,Taoudenni,200,-3.9836,22.6783,107.35,99.7,107.35,107.35,1005.0,4.0,1005.0,990.0,10.58,313.0,10.65,0.0,ML,1620884188.0,1620931693.0,,,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1620917146.0,28800.0,2032614.0,Baruun-Urt,200,113.2792,46.6806,47.73,41.45,47.73,47.73,1005.0,57.0,1005.0,893.0,16.17,44.0,24.81,100.0,MN,1620852924.0,1620906671.0,,,,,
0,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",stations,10000.0,1620917146.0,25200.0,1648082.0,Boyolangu,200,111.8935,-8.1181,76.75,78.31,76.75,76.75,1010.0,89.0,1010.0,1000.0,3.06,141.0,7.74,100.0,ID,1620858969.0,1620901291.0,,,,3.07,
0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000.0,1620917146.0,-28800.0,5866063.0,Kenai,200,-151.2583,60.5544,34.3,34.3,29.46,34.7,1021.0,86.0,,,0.0,0.0,,40.0,US,1620912401.0,1620974172.0,1.0,7680.0,,,
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,6000.0,1620917121.0,-14400.0,3868626.0,Valparaíso,200,-71.6273,-33.0393,64.42,65.26,58.98,68.25,1018.0,100.0,,,3.44,180.0,,75.0,CL,1620905333.0,1620943018.0,1.0,8498.0,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1620917147.0,43200.0,2188874.0,Russell,200,174.1236,-35.2613,49.23,48.42,49.23,49.23,1020.0,74.0,1020.0,1017.0,3.44,103.0,6.71,100.0,NZ,1620933027.0,1620970163.0,2.0,2012217.0,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1620917147.0,36000.0,6255012.0,Flinders,200,150.8552,-34.5833,60.39,59.04,55.8,63.48,1003.0,62.0,,,10.0,258.0,18.99,0.0,AU,1620938533.0,1620975826.0,2.0,2033627.0,,,
0,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",stations,10000.0,1620917147.0,-10800.0,3386931.0,Tamandaré,200,-35.1047,-8.7597,80.53,85.53,80.53,80.53,1013.0,81.0,1013.0,1012.0,9.01,135.0,12.06,100.0,BR,1620894305.0,1620936515.0,,,,2.44,
0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000.0,1620917148.0,-25200.0,6180550.0,Whitehorse,200,-135.0538,60.7161,45.07,39.56,33.03,55.18,1020.0,69.0,,,11.01,170.0,,40.0,CA,1620908447.0,1620970349.0,2.0,47668.0,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1620917148.0,21600.0,1337379.0,Pemagatsel,200,91.4266,27.0319,55.85,55.51,55.85,55.85,1009.0,93.0,1009.0,837.0,2.68,37.0,2.3,98.0,BT,1620860861.0,1620909223.0,,,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1620917148.0,-25200.0,5380420.0,Pacifica,200,-122.4869,37.6138,51.08,50.13,46.47,57.85,1017.0,90.0,,,11.01,235.0,13.0,90.0,US,1620910917.0,1620961846.0,2.0,2035599.0,,,
0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,10000.0,1620917149.0,36000.0,2092164.0,Lorengau,200,147.2712,-2.0226,81.97,88.47,81.97,81.97,1007.0,79.0,1007.0,1007.0,8.1,93.0,10.94,19.0,PG,1620936393.0,1620979687.0,,,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1620917149.0,28800.0,1720223.0,Callaguip,200,120.4867,18.0714,83.91,91.94,83.91,83.91,1009.0,75.0,1009.0,1009.0,3.11,86.0,3.06,4.0,PH,1620854754.0,1620901381.0,,,,,
0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,10000.0,1620917150.0,28800.0,2037886.0,Dandong,200,124.3947,40.1292,58.35,58.17,58.35,58.35,1013.0,91.0,1013.0,1012.0,0.92,92.0,1.01,24.0,CN,1620851346.0,1620902913.0,,,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1620917150.0,28800.0,1528998.0,Yumen,200,97.2,40.2833,53.8,50.99,53.8,53.8,1012.0,45.0,1012.0,853.0,10.56,324.0,11.23,100.0,CN,1620857846.0,1620909467.0,,,,,
0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1620917150.0,-18000.0,4006081.0,Galeana,200,-100.0667,24.8333,63.32,63.21,63.32,63.32,1025.0,82.0,1025.0,834.0,4.34,67.0,3.89,79.0,MX,1620907028.0,1620954974.0,2.0,2009140.0,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1620917150.0,7200.0,978895.0,Margate,200,30.3705,-30.8636,73.67,74.07,73.67,73.67,1014.0,71.0,1014.0,1012.0,11.43,26.0,12.77,0.0,ZA,1620880601.0,1620918790.0,,,,,
